score,time_taken,attempts,avg_user_score,tasks_completed_today,account_age_days,previous_rewards,time_of_day,fraud
6,423,1,5,2,364,12,1,0
19,466,5,18,7,213,8,17,0
14,294,4,19,3,21,17,23,0
10,248,3,10,5,155,0,12,0
7,567,1,11,9,27,5,12,0
20,381,4,9,1,77,4,4,0
6,504,2,19,7,306,3,6,0
18,54,3,12,8,57,5,11,0
22,410,4,13,6,119,2,13,0
10,256,4,15,7,165,16,0,0
10,459,1,15,6,64,10,23,0
23,494,2,6,9,48,3,9,0
20,27,4,15,3,150,19,8,0
3,298,3,17,0,158,0,9,0
7,423,4,8,2,156,3,6,0
23,244,5,15,6,151,2,15,0
2,425,3,13,6,225,9,11,0
21,508,3,9,2,260,0,11,0
20,124,4,7,0,256,3,18,0
1,243,1,10,9,61,18,12,0
23,549,3,19,8,352,0,20,0
11,20,5,7,5,260,15,17,0
5,215,1,18,6,321,18,2,0
1,256,1,9,0,162,19,6,0
20,568,1,7,0,349,17,0,0
0,136,3,10,3,31,1,2,0
11,156,1,16,6,71,5,20,0
21,127,4,14,7,2,0,13,0
11,391,1,9,9,50,18,3,0
24,421,5,18,8,135,4,18,0
16,593,2,13,0,146,1,21,0
9,372,5,7,3,179,0,5,0
15,518,3,10,3,264,15,19,0
14,146,1,12,2,311,1,8,0
14,184,1,11,6,204,3,10,0
18,298,4,10,0,299,2,21,0
11,490,1,18,8,187,16,14,0
22,28,5,19,7,30,14,8,0
19,204,3,6,1,59,9,10,0
24,339,2,19,1,9,11,9,0
2,184,1,11,7,324,11,1,0
4,458,2,12,0,167,19,21,0
18,363,1,5,6,337,6,13,0
6,508,3,19,8,279,9,3,0
20,150,5,13,2,191,4,1,0
8,102,3,8,6,242,19,4,0
6,248,2,12,5,278,19,13,0
17,214,1,19,6,154,10,14,0
3,569,2,14,6,160,1,18,0
24,442,5,11,9,265,15,5,1
13,254,3,18,0,235,11,14,0
17,326,2,17,2,346,15,13,0
8,304,2,14,9,199,3,7,0
20,291,5,11,0,33,1,19,0
1,26,1,6,4,89,9,11,0
19,80,2,5,2,95,12,3,0
14,278,5,8,0,221,18,20,0
6,334,1,16,1,69,14,5,0
11,314,1,6,9,294,0,10,0
7,460,3,12,4,237,16,22,0
14,16,5,14,2,160,19,21,0
2,323,1,11,5,320,3,6,0
13,112,3,12,8,328,19,3,0
16,202,4,15,5,276,8,14,0
3,583,5,10,1,290,5,0,0
17,538,4,5,1,42,2,8,0
7,180,1,18,7,66,1,22,0
3,546,5,17,7,21,17,19,0
1,260,3,17,5,335,18,7,0
5,396,1,16,9,70,6,11,0
21,216,5,13,6,261,2,6,0
9,550,5,10,0,246,17,17,0
3,425,4,16,8,323,19,0,0
21,389,1,17,4,235,19,8,0
17,153,3,14,8,272,18,6,0
11,34,3,5,1,99,8,13,0
1,82,1,5,7,329,15,0,0
9,102,1,12,6,35,5,12,0
3,514,2,10,3,339,11,19,0
13,345,4,12,2,171,5,14,0
15,434,1,12,3,110,12,4,0
14,508,1,19,3,295,4,4,0
7,373,2,15,9,10,12,13,0
13,208,2,18,9,202,19,13,0
22,422,5,12,7,257,6,13,0
24,348,3,14,3,262,11,4,0
7,438,4,19,4,181,3,10,0
20,148,5,11,1,66,4,18,1
15,551,1,11,3,294,15,4,0
12,66,2,14,6,161,3,3,0
17,241,3,8,2,67,7,14,0
14,444,5,13,0,100,15,20,0
20,393,3,16,7,77,7,6,0
23,569,2,6,7,35,16,4,0
24,203,5,15,5,45,13,14,0
12,543,5,13,6,150,11,13,0
